,Sr. No. ,Sample No. ,Location,Red (R.),Green (G),Blue (B),White (W),Conc. (%),RT-PCR
116,,,Pashan,0.0044199999999999995,0.020819999999999995,0.02266,0.00108,0.18224000000000004,Negative
118,18.0,11,Baner (Balewadi),0.0633,0.1109,0.1519,0.0967,0.9727,Negative
119,,,Baner (Balewadi),0.0632,0.1117,0.1521,0.0976,0.9766,Negative
120,,,Baner (Balewadi),0.062,0.1122,0.1533,0.0971,0.9844,Negative
121,,,Baner (Balewadi),0.075,0.111,0.1525,0.0954,0.9727,Negative
122,,,Baner (Balewadi),0.0802,0.1116,0.1529,0.0958,0.9766,Negative
123,,,Baner (Balewadi),0.06874,0.11148,0.15254,0.09652,0.9766,Negative
125,19.0,12,Mahalunge (Baner) ,0.08,0.1009,0.1277,0.0883,0.8828,Positive
126,,,Mahalunge (Baner) ,0.076,0.1003,0.127,0.0912,0.8789,Positive
127,,,Mahalunge (Baner) ,0.0709,0.1006,0.1276,0.0905,0.8828,Positive
128,,,Mahalunge (Baner) ,0.0924,0.1016,0.1282,0.0905,0.8906,Positive
129,,,Mahalunge (Baner) ,0.0909,0.1007,0.1286,0.0903,0.8828,Positive
130,,,Mahalunge (Baner) ,0.08203999999999999,0.10081999999999999,0.12782,0.09016,0.8835799999999999,Positive
132,20.0,14,Yerwada (RTO office),0.1598,0.2145,0.2687,0.1754,1.875,Positive
133,,,Yerwada (RTO office),0.1665,0.2141,0.258,0.1729,1.875,Positive
134,,,Yerwada (RTO office),0.1925,0.2245,0.255,0.1728,1.9688,Positive
135,,,Yerwada (RTO office),0.1617,0.2143,0.2554,0.175,1.875,Positive
136,,,Yerwada (RTO office),0.1645,0.2184,0.2618,0.1729,1.9141,Positive
137,,,Yerwada (RTO office),0.169,0.21715999999999996,0.25978,0.1738,1.9015799999999998,Positive
139,21.0,15,yerwada (burning ghat),0.0709,0.085,0.102,0.0754,0.7422,Negative
140,,,yerwada (burning ghat),0.0637,0.0829,0.103,0.0717,0.7266,Negative
141,,,yerwada (burning ghat),0.0625,0.0859,0.1017,0.0754,0.75,Negative
142,,,yerwada (burning ghat),0.0753,0.084,0.102,0.0696,0.7344,Negative
143,,,yerwada (burning ghat),0.0638,0.0845,0.109,0.0758,0.7383,Negative
144,,,yerwada (burning ghat),0.06724,0.08446000000000001,0.10354,0.07358,0.7383,Negative
146,22.0,16,Shivaji Nagar,0.0873,0.1121,0.1371,0.0954,0.9805,Negative
147,,,Shivaji Nagar,0.0977,0.114,0.1368,0.0967,1.0,Negative
148,,,Shivaji Nagar,0.1012,0.114,0.1372,0.0954,1.0,Negative
149,,,Shivaji Nagar,0.0811,0.1183,0.1391,0.0974,1.0313,Negative
150,,,Shivaji Nagar,0.0925,0.1143,0.1371,0.0974,1.0,Negative
151,,,Shivaji Nagar,0.09196,0.11454,0.13746,0.09645999999999999,1.00236,Negative
153,23.0,17,Dattawadi,0.1107,0.1509,0.1779,0.1264,1.3203,Positive
154,,,Dattawadi,0.1106,0.1501,0.1812,0.1356,1.3125,Positive
155,,,Dattawadi,0.1091,0.1527,0.1835,0.1136,1.3359,Positive
156,,,Dattawadi,0.1071,0.1529,0.1803,0.0969,1.3359,Positive
157,,,Dattawadi,0.1119,0.1518,0.1768,0.1083,1.3281,Positive
158,,,Dattawadi,0.10988,0.15167999999999998,0.17994,0.11616,1.32654,Positive
160,24.0,18,Vitthalwadi,0.1085,0.1357,0.1569,0.0944,1.1875,Positive
161,,,Vitthalwadi,0.1061,0.1377,0.1625,0.0946,1.2031,Positive
162,,,Vitthalwadi,0.1112,0.1374,0.1581,0.094,1.2031,Positive
163,,,Vitthalwadi,0.1082,0.1368,0.157,0.0929,1.1953,Positive
164,,,Vitthalwadi,0.093,0.139,0.1631,0.094,1.2188,Positive
165,,,Vitthalwadi,0.10540000000000001,0.13732,0.15952000000000002,0.09398,1.20156,Positive
167,25.0,25,Vishrantwadi,0.1318,0.165,0.1901,0.1189,1.4453,Positive
168,,,Vishrantwadi,0.1174,0.1645,0.1988,0.1363,1.4375,Positive
169,,,Vishrantwadi,0.1143,0.1665,0.1974,0.1092,1.4531,Positive
170,,,Vishrantwadi,0.1171,0.1661,0.1976,0.1359,1.4531,Positive
171,,,Vishrantwadi,0.1156,0.1672,0.1986,0.1214,1.4609,Positive
172,,,Vishrantwadi,0.11923999999999998,0.16586,0.1965,0.12433999999999998,1.44998,Positive
174,26.0,19 (10/02/2022),Dapodi,0.0549,0.08,0.0972,0.0703,0.6992,Positive
175,,,Dapodi,0.0532,0.0803,0.099,0.0274,0.7031,Positive
176,,,Dapodi,0.0488,0.0796,0.0951,0.0324,0.6953,Positive
177,,,Dapodi,0.0538,0.0801,0.094,0.0232,0.6992,Positive
178,,,Dapodi,0.0516,0.0798,0.0951,0.0497,0.6992,Positive
179,,,Dapodi,0.05245999999999999,0.07996,0.09608,0.0406,0.6992,Positive
181,27.0,20,Pimple Gurav,0.0702,0.0817,0.0934,0.0609,0.7148,Negative
182,,,Pimple Gurav,0.0617,0.0817,0.1013,0.0481,0.7148,Negative
183,,,Pimple Gurav,0.047,0.0827,0.0959,0.067,0.7227,Negative
184,,,Pimple Gurav,0.0704,0.0814,0.0904,0.071,0.7109,Negative
185,,,Pimple Gurav,0.059,0.0808,0.0892,0.069,0.707,Negative
